"value","cumul_area","fires","prop","year"
24471.04,3541002.08,1,0.473391878705997,"2019-2020"
24587.2,3565589.28,1,0.476678908913028,"2019-2020"
24606.56,3590195.84,1,0.479968527332821,"2019-2020"
28749.6,3618945.44,1,0.483812023283562,"2019-2020"
32137.6,3651083.04,1,0.488108456467556,"2019-2020"
35119.04,3686202.08,1,0.492803474416811,"2019-2020"
35448.16,3721650.24,1,0.497542491983011,"2019-2020"
35661.12,3757311.36,1,0.502309979889587,"2019-2020"
36028.96,3793340.32,1,0.50712664383863,"2019-2020"
38603.84,3831944.16,1,0.512287540084945,"2019-2020"
39358.88,3871303.04,1,0.517549376628957,"2019-2020"
41391.68,3912694.72,1,0.523082975512919,"2019-2020"
60654.88,3973349.6,1,0.531191846094516,"2019-2020"
65049.6,4038399.2,1,0.539888240972961,"2019-2020"
84971.04,4123370.24,1,0.551247906782929,"2019-2020"
256520,4379890.24,1,0.585541725872034,"2019-2020"
280236,4660126.24,1,0.623006105593904,"2019-2020"
620197.6,5280323.84,1,0.705919501406694,"2019-2020"
664473.92,5944797.76,1,0.794752139804901,"2019-2020"
1535267.36,7480065.12,1,1,"2019-2020"
19.36,666835.84,34444,0.0786408853149951,"2012-2013"
38.72,1061199.04,10185,0.125148690269891,"2012-2013"
58.08,1388189.44,5630,0.163711126484334,"2012-2013"
77.44,1671077.76,3653,0.197072542586492,"2012-2013"
96.8,1904268.96,2409,0.224573107666596,"2012-2013"
116.16,2106852,1744,0.248464009534443,"2012-2013"
135.52,2278962.4,1270,0.26876123025359,"2012-2013"
154.88,2428266.72,964,0.286368897991055,"2012-2013"
174.24,2570795.04,818,0.3031774625506,"2012-2013"
193.6,2702249.44,679,0.318680064202232,"2012-2013"
212.96,2817247.84,540,0.332241986707489,"2012-2013"
232.32,2920862.56,446,0.344461415873842,"2012-2013"
251.68,3016752.64,381,0.355769867417367,"2012-2013"
271.04,3103756.48,321,0.366030352221849,"2012-2013"
290.4,3183906.88,276,0.375482601240665,"2012-2013"
309.76,3270329.92,279,0.38567459148704,"2012-2013"
329.12,3342078.08,218,0.394135952565235,"2012-2013"
348.48,3408289.28,190,0.401944332189474,"2012-2013"
367.84,3486271.36,212,0.411140868191356,"2012-2013"
387.2,3555192.96,178,0.419268889086762,"2012-2013"
406.56,3609265.44,133,0.425645732446557,"2012-2013"
425.92,3662505.44,125,0.431924400273065,"2012-2013"
445.28,3710150.4,107,0.437543237189805,"2012-2013"
464.64,3766836.48,122,0.444228306061083,"2012-2013"
484,3811364.48,92,0.449479555515981,"2012-2013"
503.36,3870257.6,117,0.456424903708067,"2012-2013"
522.72,3913643.36,83,0.461541447198687,"2012-2013"
542.08,3952673.12,72,0.466144281503501,"2012-2013"
561.44,4004325.6,92,0.472235730871182,"2012-2013"
580.8,4041496.8,64,0.476619382590053,"2012-2013"
600.16,4088309.28,78,0.482140043973506,"2012-2013"
619.52,4124860.96,59,0.486450634830396,"2012-2013"
638.88,4159360.48,54,0.490519211581973,"2012-2013"
658.24,4192930.72,51,0.494478197040578,"2012-2013"
677.6,4233586.72,60,0.499272816108094,"2012-2013"
696.96,4280980,68,0.504861972049654,"2012-2013"
716.32,4314647.04,47,0.508832373267944,"2012-2013"
735.68,4347016.96,44,0.512649803306461,"2012-2013"
755.04,4380238.72,44,0.516567692030201,"2012-2013"
774.4,4405019.52,32,0.519490126509449,"2012-2013"
793.76,4431213.6,33,0.522579231080091,"2012-2013"
813.12,4460485.92,36,0.526031356808702,"2012-2013"
832.48,4488790.24,34,0.529369324940467,"2012-2013"
851.84,4513493.6,29,0.532282626811966,"2012-2013"
871.2,4532660,22,0.534542947229509,"2012-2013"
890.56,4553142.88,23,0.536958521978762,"2012-2013"
909.92,4578620.64,28,0.539963149927738,"2012-2013"
929.28,4605569.76,29,0.54314129742392,"2012-2013"
948.64,4624542.56,20,0.545378786322093,"2012-2013"
968,4640998.56,17,0.547319465468468,"2012-2013"
987.36,4668644.64,28,0.550579806434379,"2012-2013"
1006.72,4691799.2,23,0.553310456150926,"2012-2013"
1026.08,4710268.64,18,0.555488583098739,"2012-2013"
1045.44,4732222.88,21,0.558077677395198,"2012-2013"
1064.8,4749259.68,16,0.56008685109968,"2012-2013"
1084.16,4766606.24,16,0.562132555235153,"2012-2013"
1103.52,4791987.2,23,0.565125767424445,"2012-2013"
1122.88,4811076.16,17,0.56737695523424,"2012-2013"
1142.24,4843058.88,28,0.571148722234018,"2012-2013"
1161.6,4865129.28,19,0.573751515442098,"2012-2013"
1180.96,4884024.64,16,0.575979871732524,"2012-2013"
1200.32,4903229.76,16,0.578244758453941,"2012-2013"
1219.68,4920305.28,14,0.580258498462297,"2012-2013"
1239.04,4937651.84,14,0.58230420259777,"2012-2013"
1258.4,4967853.44,24,0.585865919619353,"2012-2013"
1277.76,4987019.84,15,0.588126240036896,"2012-2013"
1297.12,5006476.64,15,0.590420807733492,"2012-2013"
1316.48,5020957.92,11,0.592128605382302,"2012-2013"
1335.84,5036988,12,0.594019055186065,"2012-2013"
1355.2,5058671.2,16,0.596576185355407,"2012-2013"
1374.56,5077915.04,14,0.598845638380697,"2012-2013"
1393.92,5096036,13,0.600982668593647,"2012-2013"
1413.28,5112995.36,12,0.602982709690382,"2012-2013"
1432.64,5128754.4,11,0.604841195367028,"2012-2013"
1452,5149082.4,14,0.607238504900786,"2012-2013"
1471.36,5162324.64,9,0.608800180825633,"2012-2013"
1490.72,5178722.56,11,0.610734010516198,"2012-2013"
1510.08,5192313.28,9,0.61233678317591,"2012-2013"
1529.44,5201489.92,6,0.613418997194006,"2012-2013"
1548.8,5207685.12,4,0.614149605813818,"2012-2013"
1568.16,5223366.72,10,0.615998958882717,"2012-2013"
1587.52,5236066.88,8,0.617496706553331,"2012-2013"
1606.88,5240887.52,3,0.618065211385622,"2012-2013"
1626.24,5257149.92,10,0.619983059012628,"2012-2013"
1645.6,5262086.72,3,0.620565262756541,"2012-2013"
1664.96,5270411.52,5,0.621547018089413,"2012-2013"
1684.32,5292307.68,13,0.62412926293006,"2012-2013"
1703.68,5311048.16,11,0.626339354004991,"2012-2013"
1723.04,5330001.6,11,0.628574559751228,"2012-2013"
1742.4,5338713.6,5,0.629601978122838,"2012-2013"
1761.76,5345760.64,4,0.630433045427874,"2012-2013"
1781.12,5365352.96,11,0.632743595188029,"2012-2013"
1800.48,5367153.44,1,0.632955928318162,"2012-2013"
1819.84,5385351.84,10,0.635102091138859,"2012-2013"
1839.2,5390869.44,3,0.635752789440879,"2012-2013"
1858.56,5398303.68,4,0.636629519784653,"2012-2013"
1877.92,5413327.04,8,0.638401245687697,"2012-2013"
1897.28,5426608,7,0.639967487916418,"2012-2013"
1916.64,5443857.76,9,0.642001776292207,"2012-2013"
1936,5451601.76,4,0.642915037066972,"2012-2013"
1955.36,5455512.48,2,0.643376233758228,"2012-2013"
1974.72,5471310.24,8,0.645239285738748,"2012-2013"
1994.08,5483274.72,6,0.64665027363576,"2012-2013"
2013.44,5485288.16,1,0.646887721437199,"2012-2013"
2032.8,5495452.16,5,0.648086376204077,"2012-2013"
2052.16,5501608.64,3,0.648812418520015,"2012-2013"
2071.52,5511966.24,5,0.650033904806263,"2012-2013"
2090.88,5528693.28,8,0.652006548079755,"2012-2013"
2110.24,5537134.24,4,0.653002002324249,"2012-2013"
2129.6,5543523.04,3,0.65375544246343,"2012-2013"
2148.96,5554267.84,5,0.655022591788416,"2012-2013"
2168.32,5558604.48,2,0.655534017822284,"2012-2013"
2187.68,5565167.52,3,0.656308006328897,"2012-2013"
2207.04,5571788.64,3,0.657088844291321,"2012-2013"
2226.4,5580694.24,4,0.658139094182301,"2012-2013"
